Song,Artist,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Ddu-Du Ddu-Du,Blackpink,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Kill This Love,Blackpink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Holocene,Bon Iver,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Livin' On A Prayer,Bon Jovi,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,2,1,0,1
Don'T Go,Bring Me The Horizon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
24K Magic,Bruno Mars,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,0,4,4,0,0,0,2,0,0,2,0,0,0
Just The Way You Are,Bruno Mars,0,5,0,0,3,1,0,0,0,3,0,0,0,0,2,0,0,0,5,0,3,3,0,1,0,2,0,4,2,0,0,0
Locked Out Of Heaven,Bruno Mars,0,5,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,5,0,3,3,0,0,0,2,0,4,2,0,0,0
That’S What I Like,Bruno Mars,0,4,0,0,2,1,0,0,0,3,0,0,0,0,3,0,0,0,5,0,4,3,0,0,0,1,0,0,2,0,0,2
Butter,Bts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0
Dynamite,Bts,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0
Life Goes On,Bts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
Cigarette Daydreams,Cage The Elephant,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,3,4,0,0,0
One Kiss,Calvin Harris & Dua Lipa,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0
Sweet Nothing,Calvin Harris Ft. Florence Welch,0,0,0,0,0,1,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
Havana,Camila Cabello Ft. Young Thug,0,0,0,0,3,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1
Wap,Cardi B Ft. Megan Thee Stallion,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1
I Like It,"Cardi B, Bad Bunny & J Balvin",0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,5,0,0,0
Can’T Do Without You,Caribou,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
Before He Cheats,Carrie Underwood,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,3
Something In The Water,Carrie Underwood,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
"Good Luck, Babe!",Chappell Roan,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0
Boys,Charli Xcx,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
Redbone,Childish Gambino,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,1,0,5,5,0,0,0
This Is America,Childish Gambino,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,3,0,5,0,1,0,0,5,0,0,2
The Mother We Share,Chvrches,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Loverboy,Claire Rosinkranz,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Rather Be,Clean Bandit Ft. Jess Glynne,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
A Sky Full Of Stars,Coldplay,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3
Paradise,Coldplay,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Banana (Dj Fle Remix),Conkarah Ft. Shaggy,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Stunnin’,Curtis Waters,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Get Lucky,Daft Punk Ft. Pharrell Williams & Nile Rodgers,1,2,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,4,0,0,5,0,1,0,0,1,0,0,0
Speechless,Dan + Shay,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Best Part,Daniel Caesar Ft. H.E.R.,0,4,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0
Wagon Wheel,Darius Rucker,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Youth,Daughter,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Titanium,David Guetta Ft. Sia,0,0,0,0,3,1,0,0,0,4,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,5,2,0,0,0
Pour Some Sugar On Me,Def Leppard,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,2,0,0,3
Cool For The Summer,Demi Lovato,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Come On Eileen,Dexys Midnight Runners,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0
Latch,Disclosure Ft. Sam Smith,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
The Sound Of Silence,Disturbed,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3
I'M The One,"Dj Khaled Ft. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Taki Taki,"Dj Snake Ft. Ozuna, Cardi B & Selena Gomez",0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0
Say So,Doja Cat,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,1,0,0,3,0,0,0
Ella Y Yo,Don Omar & Aventura,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,0
God'S Plan,Drake,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0
God’S Plan,Drake,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0
Hotline Bling,Drake,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
In My Feelings,Drake,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Nice For What,Drake,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Nonstop,Drake,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0
Laugh Now Cry Later,Drake Ft. Lil Durk,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
One Dance,Drake Ft. Wizkid & Kyla,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Don'T Start Now,Dua Lipa,5,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Levitating,Dua Lipa Ft. Dababy,0,0,0,0,5,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Arcade,Duncan Laurence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
Hotel California,Eagles,0,0,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,4,0,0,5
Take It Easy,Eagles,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,0
Perfect,Ed Sheeran,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,5
Shape Of You,Ed Sheeran,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,4
Thinking Out Loud,Ed Sheeran,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5
Lights,Ellie Goulding,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Cold Heart (Pnau Remix),Elton John & Dua Lipa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4
Love The Way You Lie,Eminem Ft. Rihanna,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5
The Monster,Eminem Ft. Rihanna,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3
Bailando,"Enrique Iglesias Ft. Sean Paul, Descemer Bueno, Gente De Zona",0,0,0,0,3,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,3
Pepas,Farruko,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0
Trap Queen,Fetty Wap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,1,0,0,2,0,0,0
Cupid (Twin Version),Fifty Fifty,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3,2,3,0,0,0,1,0,0,2,0,0,0
Clone,Fletcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Cruise,Florida Georgia Line Ft. Nelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Never Be Like You,Flume Ft. Kai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
Pumped Up Kicks,Foster The People,1,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0
Stacy'S Mom,Fountains Of Wayne,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,4
Nights,Frank Ocean,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,2,0,0,0
Pyramids,Frank Ocean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,5,2,0,0,0
Take Me Out,Franz Ferdinand,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,5,2,0,0,0
Mask Off,Future,4,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,1,0,0,2,0,0,0
Abcdefu,Gayle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Lost In The Fire,Gesaffelstein & The Weeknd,5,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0
Heat Waves,Glass Animals,0,0,0,0,0,0,0,0,0,3,0,0,5,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0
Crew,"Goldlink Ft. Brent Faiyaz, Shy Glizzy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Somebody That I Used To Know,Gotye Ft. Kimbra,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,3,0,0,5
The Thrill Is Gone,Gracie Abrams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Oblivion,Grimes,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Tongue Tied,Grouplove,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,0
I Can'T Breathe,H.E.R.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,0
Adore You,Harry Styles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,0
As It Was,Harry Styles,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,3,4,0,0,0,1,0,0,3,0,0,3
Watermelon Sugar,Harry Styles,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,4,0,0,0,1,0,0,3,0,0,3
Something About You,Hayden James,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Take Me To Church,Hozier,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,3,0,0,5
Let It Go,Idina Menzel,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1
Believer,Imagine Dragons,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,4,0,1,3,0,1,0,1,0,0,3,0,0,3
Demons,Imagine Dragons,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Radioactive,Imagine Dragons,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,4,2,0,3,0,1,0,1,0,0,3,1,0,4
Thunder,Imagine Dragons,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,1,0,0,3,0,0,5
Mi Gente,J Balvin & Willy William,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Middle Child,J. Cole,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,0
First Class,Jack Harlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
Where Are Ü Now,Jack Ü (Skrillex & Diplo) Ft. Justin Bieber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0
Say You Won'T Let Go,James Arthur,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Tightrope,Janelle Monáe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Savage Love,Jawsh 685 & Jason Derulo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
King’S Dead,"Jay Rock, Kendrick Lamar, Future",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0
All Of Me,John Legend,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,1,0,0,2,0,0,4
Sucker,Jonas Brothers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Don'T Stop Believin',Journey,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,4
If The World Was Ending,Jp Saxe Ft. Julia Michaels,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Lucid Dreams,Juice Wrld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0
Love Yourself,Justin Bieber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Sorry,Justin Bieber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
What Do You Mean?,Justin Bieber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Peaches,"Justin Bieber Ft. Daniel Caesar, Giveon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0
Golden Hour,Jvke,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
After The Storm,"Kali Uchis Ft. Tyler, The Creator & Bootsy Collins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,4,2,0,0,0
Runaway,Kanye West Ft. Pusha T,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,1,0,5,2,0,0,0
Running Up That Hill,Kate Bush,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,4
Firework,Katy Perry,0,0,0,0,2,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,1,0,2,2,0,0,0
Roar,Katy Perry,0,0,0,0,2,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,2
Dark Horse,Katy Perry Ft. Juicy J,5,0,0,0,2,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,1,2,0,0,0
California Gurls,Katy Perry Ft. Snoop Dogg,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,5,3,0,0,0,1,0,4,2,0,0,2
Alright,Kendrick Lamar,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,5,5,0,0,0,4,0,0,2,0,0,0
Humble.,Kendrick Lamar,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,3,0,4,5,0,0,0,4,0,0,2,0,0,0
Not Like Us,Kendrick Lamar,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,2,0,5,5,0,5,0,4,0,0,2,0,0,2
Loyalty.,Kendrick Lamar Ft. Rihanna,0,0,0,0,0,0,0,0,0,3,0,0,4,0,2,0,0,0,5,0,0,5,0,0,0,4,0,0,2,0,0,0
Location,Khalid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0
Motion,Khalid,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Talk,Khalid,5,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
